תאריך,הגרלה,תלתן,יהלום,לב,עלה
04/06/2026,53000,K,9,A,9,
04/06/2026,53001,9,8,7,7,
04/06/2026,53002,7,8,8,A,
04/06/2026,53003,9,10,9,8,
04/06/2026,53004,J,7,7,Q,
04/06/2026,53005,10,8,K,A,
05/06/2026,53006,K,10,J,10,
05/06/2026,53007,A,8,K,Q,
05/06/2026,53008,K,Q,10,10,
06/06/2026,53009,7,7,A,7,
06/06/2026,53010,K,Q,K,10,
07/06/2026,53011,K,9,8,9,
07/06/2026,53012,9,A,8,10,
07/06/2026,53013,7,7,J,7,
07/06/2026,53014,A,Q,Q,A,
07/06/2026,53015,K,7,Q,10,
07/06/2026,53016,10,Q,10,7,
07/06/2026,53017,A,K,8,Q,
08/06/2026,53018,Q,8,K,J,
08/06/2026,53019,A,9,K,10,
08/06/2026,53020,9,K,8,J,
08/06/2026,53021,7,Q,J,J,
08/06/2026,53022,Q,7,A,7,
08/06/2026,53023,8,K,K,8,
08/06/2026,53024,J,8,A,A,
09/06/2026,53025,J,10,7,8,
09/06/2026,53026,8,9,10,K,
09/06/2026,53027,8,10,7,K,
09/06/2026,53028,K,Q,7,A,
09/06/2026,53029,7,10,Q,8,
09/06/2026,53030,Q,A,8,9,
09/06/2026,53031,9,7,J,K,
10/06/2026,53032,9,A,10,8,
10/06/2026,53033,A,A,9,Q,
10/06/2026,53034,8,A,J,7,
10/06/2026,53035,Q,9,Q,7,
10/06/2026,53036,7,8,7,9,
10/06/2026,53037,7,9,9,7,
10/06/2026,53038,7,9,8,Q,
11/06/2026,53039,Q,A,10,10,
11/06/2026,53040,10,9,Q,9,
11/06/2026,53041,K,J,8,8,
11/06/2026,53042,J,8,10,K,
11/06/2026,53043,8,A,K,Q,
11/06/2026,53044,Q,J,Q,K,
11/06/2026,53045,9,8,K,K,
12/06/2026,53046,9,J,Q,10,
12/06/2026,53047,J,Q,A,J,
12/06/2026,53048,7,8,7,A,
13/06/2026,53049,10,J,9,8,
13/06/2026,53050,J,7,A,8,
14/06/2026,53051,J,7,J,7,
14/06/2026,53052,8,J,K,8,
14/06/2026,53053,K,10,Q,A,
14/06/2026,53054,7,7,J,8,
14/06/2026,53055,10,J,7,9,
14/06/2026,53056,9,9,K,Q,
14/06/2026,53057,A,J,K,8,
15/06/2026,53058,K,A,A,9,
15/06/2026,53059,10,Q,J,9,
15/06/2026,53060,8,9,Q,9,
15/06/2026,53061,Q,9,10,7,
15/06/2026,53062,A,Q,A,9,
15/06/2026,53063,10,10,8,J,
15/06/2026,53064,Q,J,9,A,
16/06/2026,53065,Q,K,J,8,
16/06/2026,53066,9,10,Q,9,
16/06/2026,53067,8,K,K,8,
16/06/2026,53068,8,10,10,Q,
16/06/2026,53069,J,Q,Q,7,
16/06/2026,53070,J,7,K,7,
16/06/2026,53071,10,8,A,7,
17/06/2026,53072,Q,8,9,7,
17/06/2026,53073,A,K,K,A,
17/06/2026,53074,Q,9,K,K,
17/06/2026,53075,K,7,9,Q,
17/06/2026,53076,7,10,10,K,
17/06/2026,53077,A,7,10,7,
17/06/2026,53078,Q,Q,10,J,
18/06/2026,53079,8,A,9,7,
18/06/2026,53080,A,K,10,A,
18/06/2026,53081,K,Q,Q,9,
18/06/2026,53082,7,A,10,A,
18/06/2026,53083,A,K,A,7,
18/06/2026,53084,8,K,10,J,
18/06/2026,53085,Q,Q,7,J,
19/06/2026,53086,10,8,Q,K,
19/06/2026,53087,J,9,8,A,
19/06/2026,53088,10,7,A,8,
20/06/2026,53089,J,7,K,10,
20/06/2026,53090,10,Q,10,J,
21/06/2026,53091,A,K,J,10,
21/06/2026,53092,9,10,Q,10,
21/06/2026,53093,9,J,7,Q,
21/06/2026,53094,K,7,7,Q,
21/06/2026,53095,8,10,Q,9,
21/06/2026,53096,9,A,8,A,
21/06/2026,53097,8,K,9,10,
22/06/2026,53098,A,J,J,K,
22/06/2026,53099,9,8,K,Q,
22/06/2026,53100,J,Q,7,J,
22/06/2026,53101,8,9,10,J,
22/06/2026,53102,A,8,8,9,
22/06/2026,53103,K,10,J,Q,
22/06/2026,53104,7,J,A,10,
23/06/2026,53105,8,10,J,A,
23/06/2026,53106,Q,9,K,J,
23/06/2026,53107,10,7,10,10,
23/06/2026,53108,Q,A,10,10,
23/06/2026,53109,8,10,A,A,
23/06/2026,53110,J,A,Q,9,
23/06/2026,53111,Q,A,9,10,
24/06/2026,53112,A,J,K,10,
24/06/2026,53113,8,K,10,7,
24/06/2026,53114,10,9,8,10,
24/06/2026,53115,J,8,9,7,
24/06/2026,53116,Q,9,J,10,
24/06/2026,53117,10,Q,J,A,
24/06/2026,53118,7,Q,A,9,
25/06/2026,53119,7,K,7,Q,
25/06/2026,53120,7,J,A,A,
25/06/2026,53121,10,10,K,J,
25/06/2026,53122,J,J,A,10,
25/06/2026,53123,Q,K,Q,9,
25/06/2026,53124,10,8,9,Q,
25/06/2026,53125,A,J,K,A,
26/06/2026,53126,10,J,9,10,
26/06/2026,53127,A,9,7,10,
26/06/2026,53128,10,7,A,A,
27/06/2026,53129,10,7,Q,A,
27/06/2026,53130,8,8,7,7,
28/06/2026,53131,9,J,10,10,
28/06/2026,53132,9,9,7,J,
28/06/2026,53133,K,J,9,J,
28/06/2026,53134,7,9,J,K,
28/06/2026,53135,7,8,8,A,
28/06/2026,53136,9,J,8,K,
28/06/2026,53137,8,K,J,J,
29/06/2026,53138,K,A,A,9,
29/06/2026,53139,8,9,10,Q,
29/06/2026,53140,9,Q,8,A,
29/06/2026,53141,10,8,Q,Q,
29/06/2026,53142,7,7,K,10,
29/06/2026,53143,Q,7,8,A,
29/06/2026,53144,10,9,9,K,
30/06/2026,53145,Q,Q,7,9,
30/06/2026,53146,9,A,10,J,
30/06/2026,53147,8,A,A,10,
30/06/2026,53148,9,K,A,9,
30/06/2026,53149,J,K,8,9,
30/06/2026,53150,10,10,10,7,
30/06/2026,53151,A,10,7,K,
01/07/2026,53152,9,9,Q,A,
01/07/2026,53153,K,J,K,A,
01/07/2026,53154,9,K,7,10,
01/07/2026,53155,Q,8,A,10,
01/07/2026,53156,9,J,Q,10,
01/07/2026,53157,7,A,J,A,
01/07/2026,53158,7,7,10,8,
02/07/2026,53159,9,K,8,K,
02/07/2026,53160,8,J,8,8,
02/07/2026,53161,7,8,7,10,
02/07/2026,53162,K,J,9,8,
02/07/2026,53163,J,10,9,7,
02/07/2026,53164,7,7,K,10,
02/07/2026,53165,10,8,Q,7,
03/07/2026,53166,10,J,A,9,
03/07/2026,53167,7,7,A,Q,
03/07/2026,53168,8,10,9,J,
04/07/2026,53169,9,J,A,A,
04/07/2026,53170,10,A,Q,8,
05/07/2026,53171,10,7,K,8,
05/07/2026,53172,7,Q,A,K,
05/07/2026,53173,A,A,7,10,
05/07/2026,53174,J,10,J,7,
05/07/2026,53175,9,Q,10,7,
05/07/2026,53176,A,10,8,K,
05/07/2026,53177,8,9,J,K,
06/07/2026,53178,7,K,8,7,
06/07/2026,53179,J,8,K,8,
06/07/2026,53180,7,K,9,J,
06/07/2026,53181,A,Q,7,K,
06/07/2026,53182,K,8,J,Q,
06/07/2026,53183,A,8,A,8,
06/07/2026,53184,10,A,8,A,
07/07/2026,53185,Q,Q,7,9,
07/07/2026,53186,8,Q,8,7,
07/07/2026,53187,J,J,8,Q,
07/07/2026,53188,Q,9,10,7,
07/07/2026,53189,7,J,8,9,
07/07/2026,53190,10,J,A,9,
07/07/2026,53191,9,K,K,7,
08/07/2026,53192,Q,7,J,K,
08/07/2026,53193,9,A,8,A,
08/07/2026,53194,8,A,7,Q,
08/07/2026,53195,7,J,K,7,
08/07/2026,53196,Q,9,K,8,
08/07/2026,53197,A,7,8,Q,
08/07/2026,53198,9,9,A,A,
09/07/2026,53199,Q,A,A,9,
09/07/2026,53200,Q,9,7,A,
09/07/2026,53201,10,9,7,8,
09/07/2026,53202,8,Q,9,A,
09/07/2026,53203,A,A,10,Q,
09/07/2026,53204,9,A,8,Q,
09/07/2026,53205,9,10,7,K,
10/07/2026,53206,K,10,9,8,
10/07/2026,53207,J,10,A,10,
10/07/2026,53208,A,10,8,9,
11/07/2026,53209,7,A,J,10,
11/07/2026,53210,8,J,J,10,
12/07/2026,53211,J,7,9,8,
12/07/2026,53212,9,9,K,8,
12/07/2026,53213,8,7,Q,10,
12/07/2026,53214,9,J,8,Q,
12/07/2026,53215,Q,7,8,A,
12/07/2026,53216,8,9,J,Q,
12/07/2026,53217,7,9,9,A,
13/07/2026,53218,7,A,J,8,
